reference_id,source_folder,source_photo_count,cover,gallery_02,gallery_03
adelsdorf-reuthseering,Adelsdorf/RMH - Reuthseering,3,public/images/references/adelsdorf-reuthseering/cover.webp,public/images/references/adelsdorf-reuthseering/gallery-02.webp,public/images/references/adelsdorf-reuthseering/gallery-03.webp
deining-neubauwohnung,Deining/ETW Bürgermeister Keckl Str,3,public/images/references/deining-neubauwohnung/cover.webp,public/images/references/deining-neubauwohnung/gallery-02.webp,public/images/references/deining-neubauwohnung/gallery-03.webp
erlangen-eigentumswohnung,Erlangen/ETW Luise Kisselbach Str,3,public/images/references/erlangen-eigentumswohnung/cover.webp,public/images/references/erlangen-eigentumswohnung/gallery-02.webp,public/images/references/erlangen-eigentumswohnung/gallery-03.webp
forchheim-eigentumswohnung,Forchheim/ETW Spieläcker Str,3,public/images/references/forchheim-eigentumswohnung/cover.webp,public/images/references/forchheim-eigentumswohnung/gallery-02.webp,public/images/references/forchheim-eigentumswohnung/gallery-03.webp
forchheim-reihenhaus,Forchheim/Townhouse Katzensteinstraße,3,public/images/references/forchheim-reihenhaus/cover.webp,public/images/references/forchheim-reihenhaus/gallery-02.webp,public/images/references/forchheim-reihenhaus/gallery-03.webp
fuerth-altbauwohnung,Fürth/ETW Kellermannstraße,3,public/images/references/fuerth-altbauwohnung/cover.webp,public/images/references/fuerth-altbauwohnung/gallery-02.webp,public/images/references/fuerth-altbauwohnung/gallery-03.webp
fuerth-renovierte-wohnung,Fürth/ETW Ludwigstraße,3,public/images/references/fuerth-renovierte-wohnung/cover.webp,public/images/references/fuerth-renovierte-wohnung/gallery-02.webp,public/images/references/fuerth-renovierte-wohnung/gallery-03.webp
fuerth-versorgungszentrum,Fürth/Medizinisches Versorgungszentrum Fürth,3,public/images/references/fuerth-versorgungszentrum/cover.webp,public/images/references/fuerth-versorgungszentrum/gallery-02.webp,public/images/references/fuerth-versorgungszentrum/gallery-03.webp
fuerth-mehrfamilienhaus,Fürth/MFH Ottostraße,3,public/images/references/fuerth-mehrfamilienhaus/cover.webp,public/images/references/fuerth-mehrfamilienhaus/gallery-02.webp,public/images/references/fuerth-mehrfamilienhaus/gallery-03.webp
hagenbuechach-hausaeckern,Hagenbüchach/An den Hausäckern,3,public/images/references/hagenbuechach-hausaeckern/cover.webp,public/images/references/hagenbuechach-hausaeckern/gallery-02.webp,public/images/references/hagenbuechach-hausaeckern/gallery-03.webp
heroldsbach-mehrfamilienhaus,Heroldsbach/ZFH Am Vogelherd,3,public/images/references/heroldsbach-mehrfamilienhaus/cover.webp,public/images/references/heroldsbach-mehrfamilienhaus/gallery-02.webp,public/images/references/heroldsbach-mehrfamilienhaus/gallery-03.webp
herzogenaurach-schuetzengraben,Herzogenaurach/Schützengraben,3,public/images/references/herzogenaurach-schuetzengraben/cover.webp,public/images/references/herzogenaurach-schuetzengraben/gallery-02.webp,public/images/references/herzogenaurach-schuetzengraben/gallery-03.webp
langenzenn-terrassenwohnung,Langenzenn/ETW Lenzenstraße,3,public/images/references/langenzenn-terrassenwohnung/cover.webp,public/images/references/langenzenn-terrassenwohnung/gallery-02.webp,public/images/references/langenzenn-terrassenwohnung/gallery-03.webp
nuernberg-willy-wunder,Nürnberg/DHH Willy Wunder Str,3,public/images/references/nuernberg-willy-wunder/cover.webp,public/images/references/nuernberg-willy-wunder/gallery-02.webp,public/images/references/nuernberg-willy-wunder/gallery-03.webp
nuernberg-einfamilienhaus,Nürnberg/EFH Seidelbastweg,3,public/images/references/nuernberg-einfamilienhaus/cover.webp,public/images/references/nuernberg-einfamilienhaus/gallery-02.webp,public/images/references/nuernberg-einfamilienhaus/gallery-03.webp
nuernberg-neutrograben,Nürnberg/ETW Neutrograben,3,public/images/references/nuernberg-neutrograben/cover.webp,public/images/references/nuernberg-neutrograben/gallery-02.webp,public/images/references/nuernberg-neutrograben/gallery-03.webp
nuernberg-eigentumswohnung,Nürnberg/ETW Stabiusstraße,3,public/images/references/nuernberg-eigentumswohnung/cover.webp,public/images/references/nuernberg-eigentumswohnung/gallery-02.webp,public/images/references/nuernberg-eigentumswohnung/gallery-03.webp
nuernberg-zuericher-52,Nürnberg/ETW Züricher Str 52,3,public/images/references/nuernberg-zuericher-52/cover.webp,public/images/references/nuernberg-zuericher-52/gallery-02.webp,public/images/references/nuernberg-zuericher-52/gallery-03.webp
nuernberg-zuericher-40,Nürnberg/ETW Züricher Str. 40,3,public/images/references/nuernberg-zuericher-40/cover.webp,public/images/references/nuernberg-zuericher-40/gallery-02.webp,public/images/references/nuernberg-zuericher-40/gallery-03.webp
nuernberg-reihenendhaus,Nürnberg/REH Siebenbürger Str,3,public/images/references/nuernberg-reihenendhaus/cover.webp,public/images/references/nuernberg-reihenendhaus/gallery-02.webp,public/images/references/nuernberg-reihenendhaus/gallery-03.webp
nuernberg-haderastrasse,Nürnberg/RMH Haderastraße,3,public/images/references/nuernberg-haderastrasse/cover.webp,public/images/references/nuernberg-haderastrasse/gallery-02.webp,public/images/references/nuernberg-haderastrasse/gallery-03.webp
nuernberg-woernitzstrasse,Nürnberg/RMH Wörnitzstraße,3,public/images/references/nuernberg-woernitzstrasse/cover.webp,public/images/references/nuernberg-woernitzstrasse/gallery-02.webp,public/images/references/nuernberg-woernitzstrasse/gallery-03.webp
oberasbach-einfamilienhaus,Oberasbach/EFH Bucher Straße,3,public/images/references/oberasbach-einfamilienhaus/cover.webp,public/images/references/oberasbach-einfamilienhaus/gallery-02.webp,public/images/references/oberasbach-einfamilienhaus/gallery-03.webp
schwabach-abenberger,Schwabach/ETW Abenberger Straße,3,public/images/references/schwabach-abenberger/cover.webp,public/images/references/schwabach-abenberger/gallery-02.webp,public/images/references/schwabach-abenberger/gallery-03.webp
zirndorf-carl-benz,Zirndorf/Carl Benz Straße,3,public/images/references/zirndorf-carl-benz/cover.webp,public/images/references/zirndorf-carl-benz/gallery-02.webp,public/images/references/zirndorf-carl-benz/gallery-03.webp
zirndorf-gutenbergstrasse,Zirndorf/Gutenbergstraße,3,public/images/references/zirndorf-gutenbergstrasse/cover.webp,public/images/references/zirndorf-gutenbergstrasse/gallery-02.webp,public/images/references/zirndorf-gutenbergstrasse/gallery-03.webp
zirndorf-homburger,Zirndorf/Homburger Str,3,public/images/references/zirndorf-homburger/cover.webp,public/images/references/zirndorf-homburger/gallery-02.webp,public/images/references/zirndorf-homburger/gallery-03.webp
zirndorf-marienbader,Zirndorf/Marienbader Str,3,public/images/references/zirndorf-marienbader/cover.webp,public/images/references/zirndorf-marienbader/gallery-02.webp,public/images/references/zirndorf-marienbader/gallery-03.webp
zirndorf-gartenwohnung,Zirndorf/Vogelherdstraße,3,public/images/references/zirndorf-gartenwohnung/cover.webp,public/images/references/zirndorf-gartenwohnung/gallery-02.webp,public/images/references/zirndorf-gartenwohnung/gallery-03.webp
